cell_id,vitmae_leiden_macs,Has_DE_Genes
aaambfdk-1,10,True
aabbanlb-1,10,True
aabgcdlj-1,13,True
aabgfdij-1,13,True
aabnblbo-1,13,True
aaccbnbc-1,13,True
aaccnfed-1,10,True
aacfhfkn-1,13,True
aacgdkaa-1,13,True
aacgeefd-1,13,True
aacibhld-1,13,True
aaclleej-1,13,True
aacooegh-1,10,True
aadbfpme-1,13,True
aadcodlg-1,13,True
aadhkjlm-1,13,True
aadklllh-1,13,True
aadlpkba-1,13,True
aadmmoid-1,13,True
aadomcfo-1,10,True
aaeaaadj-1,10,True
aaecfdnd-1,10,True
aaedlchj-1,13,True
aaegfoon-1,10,True
aaeibddp-1,10,True
aaemjeon-1,10,True
aaeopfad-1,5,False
aaepcmge-1,13,True
aafclfng-1,3,False
aafedinl-1,10,True
aafhcgii-1,13,True
aafkdnfk-1,10,True
aaflnfpf-1,13,True
aagbimcd-1,6,False
aagedhfh-1,13,True
aagfgloj-1,10,True
aagfhfkg-1,13,True
aahhgkdh-1,13,True
aahmfoom-1,13,True
aahmmmnm-1,10,True
aaiahnpj-1,13,True
aajefmda-1,13,True
aajeiheo-1,13,True
aajgpgkp-1,13,True
aajlajmp-1,10,True
aajmdcmp-1,13,True
aakaepll-1,3,False
aakcpgck-1,13,True
aakepgfc-1,13,True
aakkmdeo-1,13,True
aakmaklh-1,10,True
aakokofb-1,13,True
aakppeab-1,13,True
aalbdopo-1,13,True
aalfeijm-1,13,True
aalgabmk-1,13,True
aalodmcp-1,10,True
aalokfdo-1,10,True
aalonhfh-1,13,True
aalpniof-1,13,True
aamamilh-1,13,True
aanabahn-1,13,True
aanlgmca-1,13,True
aaoafbmn-1,3,False
aaobcpnp-1,3,False
aaobgaao-1,3,False
aaoeofcg-1,3,False
aapbeogm-1,13,True
aapcehhf-1,13,True
aapcpibh-1,13,True
aaphggpi-1,10,True
aapjcbim-1,13,True
aapohcdp-1,13,True
aappcfho-1,13,True
ababiadj-1,14,False
abancgpp-1,10,True
abaomlmi-1,10,True
abbkncfd-1,13,True
abcdajff-1,13,True
abchbgjk-1,13,True
abclajgp-1,10,True
abcmffkl-1,13,True
abcmhijn-1,13,True
abdchjme-1,13,True
abdckioo-1,13,True
abddibnn-1,13,True
abdgjgff-1,13,True
abdibbmj-1,10,True
abdjjghd-1,10,True
abecnbab-1,13,True
abegihdd-1,2,False
abeiaiie-1,10,True
abejecib-1,13,True
abekglki-1,13,True
abelcddl-1,10,True
abeohpci-1,13,True
abeoiddp-1,10,True
abeojhhp-1,2,False
abfjbpil-1,13,True
abfjgdhi-1,13,True
abfmagdb-1,3,False
abfmaonp-1,13,True
abfmfhno-1,10,True
abfoonne-1,13,True
abgdohgm-1,13,True
abgocnkg-1,3,False
abgpfbek-1,10,True
abhajcob-1,3,False
abhajhhi-1,4,True
abheeapf-1,10,True
abhefjjb-1,13,True
abhhhkmd-1,13,True
abhhnfji-1,13,True
abifkonh-1,2,False
abiimalf-1,10,True
abijmjpd-1,3,False
abilebmm-1,10,True
abimbocn-1,13,True
abimnddo-1,13,True
abinlgep-1,10,True
abjcclll-1,10,True
abjcnbdm-1,13,True
abjdenbc-1,10,True
abjebkom-1,13,True
abjecoof-1,13,True
abjefpko-1,10,True
abjgaifi-1,10,True
abjpdjdn-1,13,True
abkaiigp-1,13,True
abkoabpo-1,10,True
abljdnmf-1,10,True
abmbanfg-1,10,True
abmmddnd-1,13,True
abmmmadd-1,13,True
abobjjej-1,10,True
abodohco-1,10,True
aboldcll-1,10,True
acahlmkf-1,13,True
acahmbin-1,13,True
acamefbg-1,10,True
acbccbbc-1,13,True
acbllbdp-1,13,True
acdedihn-1,13,True
acdembne-1,4,True
acdenbnn-1,3,False
acdggdna-1,3,False
acdhambg-1,3,False
acdhijhg-1,3,False
acdikiio-1,3,False
acdjebfm-1,3,False
acdkjoal-1,13,True
acdkmnfi-1,3,False
acdkmoin-1,3,False
acdleeln-1,4,True
acdlgcfp-1,3,False
acdlieoi-1,3,False
acdmhgho-1,3,False
acdmijkg-1,3,False
acdmkimf-1,3,False
acdnefbn-1,3,False
acdnjfdh-1,3,False
acdnlnle-1,3,False
acdoeodn-1,3,False
acdofbjn-1,4,True
acdopopa-1,3,False
acdpcnbp-1,3,False
aceagpnf-1,7,False
acecfdkg-1,3,False
aceddidj-1,3,False
aceelakl-1,3,False
aceenocd-1,3,False
acefakoe-1,4,True
acefoljd-1,3,False
acegdllo-1,4,True
acegggae-1,3,False
aceghlpo-1,4,True
acegifel-1,3,False
acegknjd-1,4,True
acehhdhh-1,3,False
aceiiloj-1,3,False
aceilkjp-1,13,True
acejonjk-1,3,False
acemnjab-1,11,True
acenopec-1,3,False
acfffnjn-1,13,True
acfgpcbj-1,6,False
acfkippb-1,4,True
acfkopeb-1,13,True
acflpegg-1,13,True
acfmgdef-1,13,True
acfoefdp-1,13,True
acgacnle-1,13,True
acgddfcb-1,13,True
acgickli-1,13,True
achdkgjl-1,13,True
acifcfgc-1,13,True
acifchkh-1,13,True
acjobjdh-1,10,True
acjpmdln-1,13,True
ackgefma-1,13,True
ackgmaen-1,13,True
aclelilm-1,10,True
acmghiad-1,13,True
acmikcfk-1,13,True
acnfcflj-1,10,True
acngahgf-1,13,True
acohpnff-1,13,True
acoibmfo-1,10,True
acollcgj-1,10,True
acolpokl-1,13,True
acoonlfh-1,13,True
acopdafn-1,10,True
acoppkfk-1,14,False
acpaoahb-1,3,False
acpccokd-1,12,True
acpcpmhm-1,12,True
acpilnog-1,10,True
acpjbmlp-1,13,True
acpkbnik-1,10,True
acpmecom-1,10,True
acpnhhcp-1,10,True
acpohbca-1,13,True
acppogel-1,13,True
adaagkie-1,10,True
adacbobk-1,13,True
adaeacca-1,13,True
adaffcib-1,10,True
adagjofa-1,10,True
adamngnj-1,13,True
adanghhg-1,10,True
adanhmnh-1,10,True
adappckc-1,13,True
adcndgml-1,10,True
adeimcim-1,13,True
adelnelm-1,13,True
adfdgnpg-1,13,True
adfnenoa-1,13,True
adhckolj-1,13,True
adjdckbp-1,13,True
adnmgceh-1,3,False
adoflbid-1,10,True
aeacehan-1,10,True
aeahmdal-1,13,True
aebdoipg-1,13,True
aeblgeam-1,13,True
aebpoila-1,10,True
aefbggnl-1,10,True
aefbhlnd-1,13,True
aefbmmnd-1,13,True
aefdacdl-1,13,True
aefhgbih-1,14,False
aefhkked-1,3,False
aeflhncd-1,4,True
aeflookf-1,3,False
aefmaahb-1,3,False
aefmcbil-1,3,False
aefnjhhd-1,3,False
aefnkolk-1,3,False
aefojcmc-1,3,False
aefpelcf-1,3,False
aefpjnek-1,3,False
aefpjoko-1,3,False
aefplcih-1,13,True
aefppfph-1,3,False
aeganlhm-1,3,False
aegbbfoe-1,13,True
aegddpmh-1,4,True
aegdehhc-1,5,False
aegfbgej-1,10,True
aegfecfl-1,3,False
aegfjnog-1,10,True
aegfnjhm-1,3,False
aegfpako-1,3,False
aeggapdk-1,3,False
aeggbogf-1,3,False
aeggdkif-1,3,False
aegggela-1,10,True
aegghghl-1,3,False
aeggimjl-1,4,True
aegglloa-1,3,False
aeggonon-1,3,False
aeghdhee-1,3,False
aeghfjha-1,4,True
aeghiahn-1,3,False
aeghoanh-1,3,False
aegiaale-1,3,False
aegiifim-1,3,False
aegiinlk-1,3,False
aegjaokb-1,13,True
aegmpnla-1,13,True
aegpedhf-1,3,False
aegpeffn-1,3,False
