cell_id,cell_label,10X_cell_type,tsne_x,tsne_y
aaacgebm-1,19,Ciliated Epithelial Cells,-31.107016,-149.22253
aaafondj-1,45,Proliferative Tumor Cells,-25.115227,-137.34903
aaaggiaa-1,49,Tumor Cells,-72.54271,-220.54562
aaaobjgn-1,89,Tumor Cells,-35.0669,-221.79797
aaapfbif-1,97,Tumor Cells,155.55128,-83.34452
aabbanlb-1,103,Macrophages,-110.93735,11.291698
aabfogfm-1,130,Tumor Cells,20.43129,-147.25775
aabjaheg-1,151,Tumor Cells,116.908195,-212.83394
aabomegh-1,186,Tumor Cells,186.75554,-100.8296
aaccaekp-1,213,Tumor Cells,114.97081,-105.99955
aackhnhd-1,260,Tumor Cells,-10.829215,-153.07632
aacmlckj-1,281,Proliferative Tumor Cells,-62.20264,-156.0816
aacndged-1,285,Tumor Cells,-20.035078,-157.6092
aadakbhg-1,300,Proliferative Tumor Cells,-8.405653,-152.82611
aadhcmfb-1,337,Tumor Cells,-26.599325,-170.878
aadjkfjb-1,355,Tumor Cells,-21.240534,-141.79259
aadkania-1,359,Proliferative Tumor Cells,-34.381218,-163.73595
aadmmoid-1,378,Macrophages,38.940056,-7.483069
aadnadpa-1,379,Tumor Cells,149.02995,-110.75784
aaegfala-1,443,Tumor Cells,-21.98477,-159.35567
aaeibddp-1,455,Macrophages,-109.99094,16.088694
aafbkmeo-1,525,Proliferative Tumor Cells,-1.7753023,-155.0793
aafcdflc-1,528,Proliferative Tumor Cells,-78.85193,-228.82498
aafhmflk-1,570,Proliferative Tumor Cells,-76.9461,-215.71605
aafmohok-1,604,Proliferative Tumor Cells,-80.42618,-221.2481
aafpdenb-1,630,Tumor Cells,-23.432384,-165.05794
aafpkikm-1,635,Proliferative Tumor Cells,5.2111826,-147.07791
aagdpaem-1,672,Proliferative Tumor Cells,-31.757545,-168.70035
aagjejdm-1,715,Tumor Cells,109.276054,-120.28465
aagmcmfh-1,734,Proliferative Tumor Cells,-78.24547,-221.38771
aahaacei-1,767,Proliferative Tumor Cells,-28.704973,-146.86845
